instance,time,memory,profit,status_or_feasible
knapPI_14_200_1000_1_items.csv,0.0033382000401616096,0.059772491455078125,2184,1
knapPI_1_500_1000_1_items.csv,0.007060699979774654,0.0785665512084961,12805,1
knapPI_2_500_1000_1_items.csv,0.007984900032170117,0.06339550018310547,1306,1
knapPI_3_500_1000_1_items.csv,0.00710119993891567,0.06417179107666016,2596,1
f10_l-d_kp_20_879_items.csv,0.0012448999332264066,0.03878498077392578,1025,1
f1_l-d_kp_10_269_items.csv,0.0006802999414503574,0.038626670837402344,295,1
f2_l-d_kp_20_878_items.csv,0.0018090000376105309,0.038405418395996094,1024,1
f3_l-d_kp_4_20_items.csv,0.000860300031490624,0.03806591033935547,35,1
f4_l-d_kp_4_11_items.csv,0.0007337999995797873,0.03812694549560547,23,1
f5_l-d_kp_15_375_items.csv,0.0008620999287813902,0.03887367248535156,481069368,1
f6_l-d_kp_10_60_items.csv,0.0009214999154210091,0.037978172302246094,52,1
f7_l-d_kp_7_50_items.csv,0.0006382999708876014,0.037693023681640625,107,1
f8_l-d_kp_23_10000_items.csv,30.590815100003965,223.2327766418457,9767,1
f9_l-d_kp_5_80_items.csv,0.0013278999831527472,0.038466453552246094,130,1
